longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.0208582,37.84249988,1312,白根排水機場跡地,下下俵933, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
139.0226562,37.8235406,1313,大通ふれあい公園,大通黄金2-7-11, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
139.0205151,37.82639493,1321,大通さつき公園,大通黄金一丁目3-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0197945,37.83961856,1329,大通はあと公園,鷲ノ木新田, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南区,屋外
139.0197902,37.83153251,1375,大通南3号公園,大通南三丁目5, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0205774,37.82924806,1376,大通南2号公園,大通南一丁目119, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.023904,37.8283611,1377,大通南1号公園,大通南二丁目169, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0185834,37.8412454,1378,大通公園,大通一丁目850-3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,白根地区,屋外
139.0042556,37.80651143,1398,大倉児童公園,大倉535-1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
139.0020458,37.8103275,1400,居宿農村公園,居宿7, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,味方地区,屋外
138.9989325,37.83496214,1453,宮のもり・木場城公園,木場126番地6, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,黒埼地区,屋外
139.0825402,37.8454376,1473,ありの実公園,両川1丁目1201-2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南地区,屋外
139.0500946,37.81695369,1483,大鷲公園,東笠巻1277番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,南区,屋外
139.1071022,37.83011943,1315,荻野公園,荻野町109番地3, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。, ,屋外
139.1526806,37.82211301,1334,満願寺公園,満願寺3423番地2, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1018805,37.83373469,1335,あおば公園,あおば通１丁目109番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1139268,37.82539868,1336,みそら野公園,みそら野3丁目14番地6, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1064604,37.81682753,1337,工業団地２号公園,川口578番地30, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1122092,37.81832982,1339,工業団地3号公園,川口578番地28, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1063439,37.8154454,1341,工業団地1号公園,川口578番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,秋葉区,屋外
139.1281972,37.83753323,1442,木津農村公園,木津3丁目518番地6, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
139.131341,37.83996083,1443,第1やすらぎ公園,木津工業団地2428番地12, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,横越地区,屋外
138.9397455,37.86251408,1509,大学南第一公園,大学南2丁目27番1号, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西地区,屋外
138.9135569,37.84711747,1508,中浜公園,新中浜1丁目10番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,西地区,屋外
138.9947187,37.86212664,1510,的場史跡公園,的場流通1丁目2番地1, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,坂井輪地区,屋外
138.9722564,37.88360386,1511,寺尾中央公園,寺尾中央公園1番1号, , ,広域避難場所に指定しています。　・地震発生後、火災の延焼拡大等により一時避難場所が危険な状況になった場合の避難場所として市が指定しています。,坂井輪地区,屋外
138.991522,37.8635241,1512,流通公園,流通センター5丁目1番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,坂井輪地区,屋外
138.9816058,37.88051141,1514,寺尾あけぼの公園,寺尾前通2丁目9番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,坂井輪地区,屋外
139.0060197,37.88958426,1516,平島公園,平島1丁目21番地, , ,一時避難場所に指定しています。　・災害が発生し、または発生の恐れがある場合に、一時的に避難する場所として市が指定した場所です。,坂井輪地区,屋外
